Id,SalePrice
1461,117874.1276939938
1462,158095.14856896992
1463,181705.0513098689
1464,196471.3956714514
1465,201508.70243712762
1466,167809.21655905814
1467,171440.7332105002
1468,161224.1376727648
1469,196411.6538217227
1470,115884.62002607281
1471,191131.23169158213
1472,95856.10262012668
1473,93400.2824287073
1474,142665.78235953927
1475,107839.55223793867
1476,349425.9143749239
1477,256365.12112605883
1478,291090.20500799554
1479,286356.3715857457
1480,438709.1996881281
1481,335389.66004247766
1482,221241.0318090188
1483,180082.8504495459
1484,163815.32724265027
1485,198083.95871760865
1486,195043.77209286703
1487,328852.6790585889
1488,230023.11493071384
1489,196789.51711821283
1490,236949.1845283735
1491,199435.73938951353
1492,92965.54360340792
1493,182960.96811945224
1494,294750.81915064534
1495,288373.67033611995
1496,232897.8459017146
1497,178140.85285107384
1498,178320.41759736452
1499,164494.61601177385
1500,159551.1734975649
1501,176694.8723360356
1502,141768.41333875057
1503,288889.817109188
1504,241128.5607562155
1505,223877.39963719656
1506,190596.24063908943
1507,247752.31577191988
1508,204078.88354670856
1509,162298.59664683207
1510,144577.44606470098
1511,157728.9880136728
1512,168242.10642585056
1513,145872.1046113274
1514,151757.44847394698
1515,194511.95680121225
1516,160140.0078431989
1517,171478.26981717185
1518,129334.4729022794
1519,206573.76752542632
1520,127416.52604054703
1521,130944.00810629323
1522,182868.08875776155
1523,108926.47630514916
1524,127336.94321153006
1525,120485.7499725513
1526,113916.31487766257
1527,106018.66573708205
1528,138569.0069451371
1529,153940.15411363746
1530,185496.2453851551
1531,104914.84561488207
1532,96378.3263611854
1533,156205.54186189754
1534,124876.1374635849
1535,148417.81680838653
1536,108579.599693175
1537,63827.34450182223
1538,152634.66827793332
1539,191079.8652263981
1540,97391.1719472857
1541,144203.8035523214
1542,144478.13276698967
1543,190833.80977930588
1544,88842.64131493962
1545,117394.80199863212
1546,142438.0025604379
1547,133959.2536716799
1548,142656.5683662731
1549,124786.64891998768
1550,135023.000993021
1551,102619.83351913994
1552,134213.0034924278
1553,150215.40896022978
1554,113308.24449827085
1555,169490.6255048247
1556,88460.59361275863
1557,106503.56837833689
1558,97346.77612720832
1559,69120.61758070362
1560,137021.7475195808
1561,130699.05298284079
1562,132248.70446291627
1563,121017.26597860527
1564,157733.17791341696
1565,145888.3839808354
1566,249215.80120482726
1567,72980.23549513379
1568,252933.32258341106
1569,127557.00913229241
1570,138638.87877612357
1571,129854.70020319575
1572,143695.98920509082
1573,221270.97120907056
1574,129646.95161636782
1575,230285.615589846
1576,256524.01324464928
1577,181269.34718385883
1578,134964.63030340307
1579,150892.1706973964
1580,194916.90995468418
1581,156784.58808258976
1582,122436.97486496264
1583,297443.59912308253
1584,214177.08163724103
1585,136425.8354252893
1586,63820.681566244675
1587,104511.95076568046
1588,154528.23525858138
1589,99020.1935870616
1590,136425.7709915962
1591,94524.46093241383
1592,112708.14453039825
1593,121050.06558084392
1594,121258.58460130678
1595,109759.78104147885
1596,215398.40586188665
1597,198828.18411045306
1598,245584.99381982163
1599,166535.45707858025
1600,162306.05136451236
1601,64655.25086125859
1602,111476.74728091898
1603,70134.41172177349
1604,269919.1736779933
1605,246083.3410659225
1606,164051.2099228236
1607,182776.88029178954
1608,223558.91255251024
1609,183197.76186144608
1610,156441.41972622115
1611,144979.72298153245
1612,173625.63134763596
1613,165005.5200270544
1614,124928.06350779724
1615,91437.98501081154
1616,77323.21530557073
1617,90204.83441882911
1618,126037.48759563432
1619,136961.55392233975
1620,158632.92338123266
1621,141201.54878692733
1622,137297.36755064674
1623,260425.08227230512
1624,218454.40574289658
1625,114145.9912582833
1626,170206.7543540822
1627,190274.73443443276
1628,272618.38740504556
1629,182769.59772275056
1630,354939.7550021905
1631,241745.0995874716
1632,257436.18302488897
1633,173086.7315633756
1634,181955.92062798186
1635,173547.1249047559
1636,146995.71137673195
1637,202207.95524402344
1638,178435.86829391323
1639,185387.20378098165
1640,253114.39789559453
1641,183696.1765445901
1642,241313.71199734937
1643,207358.1425899246
1644,232322.30433292265
1645,197880.85810334398
1646,156419.82252238443
1647,151676.95716139436
1648,125197.58809619892
1649,141372.45718921744
1650,108190.06823110138
1651,119013.33322899973
1652,96642.23823714601
1653,98786.79265004289
1654,139855.24875496002
1655,129498.91653868325
1656,138918.53291457615
1657,143848.42688487255
1658,140099.09165395232
1659,110340.367382952
1660,152595.09380220628
1661,418754.86764381826
1662,374430.0801090399
1663,364747.5100106059
1664,445264.20207777136
1665,288744.039432301
1666,325455.3869437494
1667,361947.82130288245
1668,328762.9836385109
1669,297887.66179237503
1670,325869.2055437171
1671,264829.4576475943
1672,380786.4030158264
1673,294838.0472819602
1674,241634.2354703632
1675,205637.98010365214
1676,205327.3405426942
1677,230889.65723152383
1678,432334.4090908164
1679,366926.24288239656
1680,320325.8199244961
1681,234733.0966252273
1682,310776.5427681953
1683,186721.24963831797
1684,171938.84715026332
1685,174530.55708190694
1686,169708.72417763586
1687,174264.07765089176
1688,188053.78786076634
1689,190735.59493281072
1690,195899.18278088112
1691,186592.41296090712
1692,255893.62681673438
1693,173094.24604784962
1694,178200.61240471728
1695,163137.1143434037
1696,261134.23567651023
1697,167360.17297913056
1698,336607.0977833083
1699,307332.789253081
1700,253662.73148999506
1701,270640.1426479602
1702,243634.418715919
1703,240444.92009759473
1704,274835.01356109127
1705,241450.93505515848
1706,386253.9416418506
1707,205205.26112752664
1708,201135.85862310854
1709,269391.8026398034
1710,222956.091274735
1711,276661.0896330562
1712,249858.1943621448
1713,256584.72276357518
1714,218479.05910408773
1715,207173.5166659724
1716,183368.34653776116
1717,178152.6468178182
1718,139619.336475144
1719,211198.14288910758
1720,230146.6737044745
1721,158155.1717894551
1722,123817.4791445172
1723,150397.62029963982
